time,par
2014-12-10 13:12:02,-0.24
2014-12-10 13:15:02,-0.469
2014-12-10 13:18:02,-0.214
2014-12-10 13:21:02,-0.24
2014-12-10 13:24:03,-0.214
2014-12-10 13:27:03,-0.24
2014-12-10 13:30:03,-0.24
2014-12-10 13:33:03,-0.214
2014-12-10 13:36:04,-0.214
2014-12-10 13:39:04,-0.214
2014-12-10 13:42:04,-0.214
2014-12-10 13:45:04,-0.214
2014-12-10 13:48:04,-0.214
2014-12-10 13:51:05,-0.24
2014-12-10 13:54:05,-0.214
2014-12-10 13:57:05,-0.214
2014-12-10 14:00:05,-0.214
2014-12-10 14:03:05,-0.24
2014-12-10 14:06:06,-0.24
2014-12-10 14:09:06,-0.24
2014-12-10 14:12:06,-0.24
2014-12-10 14:15:06,-0.24
2014-12-10 14:18:07,-0.214
2014-12-10 14:21:07,-0.24
2014-12-10 14:24:07,-0.24
2014-12-10 14:27:07,-0.24
2014-12-10 14:30:08,-0.24
2014-12-10 14:33:08,-0.24
2014-12-10 14:36:08,-0.214
2014-12-10 14:39:08,-0.214
2014-12-10 14:42:09,-0.673
2014-12-10 14:45:09,-0.24
2014-12-10 14:48:09,-0.24
